,t,T,u
404,404.0,22.25359416933119,0.0
405,405.0,22.135974926473306,0.0
406,406.0,21.947827156982264,0.0
407,407.0,22.231498529370548,0.0
408,408.0,22.59119306244978,0.0
409,409.0,22.65310363007723,0.0
410,410.0,22.044551902458966,0.0
411,411.0,22.250276753035916,0.0
412,412.0,22.32431286396791,0.0
413,413.0,22.547781624615297,0.0
414,414.0,22.153735283082945,0.0
415,415.0,22.56180033028398,0.0
416,416.0,22.223061811484367,0.0
417,417.0,22.6505275583582,0.0
418,418.0,21.888817495972216,0.0
419,419.0,22.289882422316435,0.0
420,420.0,21.788824171683203,0.0
421,421.0,22.309388442278248,0.0
422,422.0,21.669802755032542,0.0
423,423.0,22.53267255163518,0.0
424,424.0,22.00780307838972,0.0
425,425.0,22.367882696819688,0.0
426,426.0,21.774053235149093,0.0
427,427.0,21.900485285270587,0.0
428,428.0,21.93561821605799,0.0
429,429.0,22.150768168619763,0.0
430,430.0,21.788568882174815,0.0
431,431.0,22.036509402053067,0.0
432,432.0,22.322078226198695,0.0
433,433.0,21.853509406028564,0.0
434,434.0,21.697377374414117,0.0
435,435.0,22.226442129032115,0.0
436,436.0,22.26233457364375,0.0
437,437.0,21.85740980829322,0.0
438,438.0,22.063458915949802,0.0
439,439.0,21.785052060061194,0.0
440,440.0,22.247901684171605,0.0
441,441.0,21.957323688272126,0.0
442,442.0,21.881429104841185,0.0
443,443.0,22.069483283103114,0.0
444,444.0,22.177545184554045,0.0
445,445.0,21.941045187469605,0.0
446,446.0,21.69147129077488,0.0
447,447.0,21.839898771146483,0.0
448,448.0,21.577474864901472,0.0
449,449.0,22.115911078915516,0.0
450,450.0,21.52605135385274,0.0
451,451.0,22.075532880191112,0.0
452,452.0,22.30285992742308,0.0
453,453.0,21.999634396562342,0.0
454,454.0,21.543804708202348,0.0
455,455.0,22.09583673926736,0.0
456,456.0,22.043979858532516,0.0
457,457.0,22.11253426784671,0.0
458,458.0,22.132137892353978,0.0
459,459.0,21.8093029996135,0.0
460,460.0,21.93402617898548,0.0
461,461.0,21.949352875163683,0.0
462,462.0,22.275462834318038,0.0
463,463.0,22.126170857666867,0.0
464,464.0,21.966609367499277,0.0
465,465.0,21.540522335959906,0.0
466,466.0,21.94925068076193,0.0
467,467.0,21.47886789735155,0.0
468,468.0,22.065234792712104,0.0
469,469.0,21.485663893088745,0.0
470,470.0,21.445795355863805,0.0
471,471.0,21.384529340084352,0.0
472,472.0,21.763473472536464,0.0
473,473.0,22.15162112480594,0.0
474,474.0,22.05384343084238,0.0
475,475.0,21.809062373843656,0.0
476,476.0,22.17176881740389,0.0
477,477.0,21.48835295330121,0.0
478,478.0,21.743056764389152,0.0
479,479.0,21.366417275618165,0.0
480,480.0,21.47786398590848,0.0
481,481.0,22.230550555866433,0.0
482,482.0,22.001238007511873,0.0
483,483.0,21.76887255524689,0.0
484,484.0,21.3618674709574,0.0
485,485.0,21.887938653090636,0.0
486,486.0,21.668008236338423,0.0
487,487.0,22.19515145539552,0.0
488,488.0,21.419320649779376,0.0
489,489.0,21.300132198072543,0.0
490,490.0,21.350065977532303,0.0
491,491.0,21.257990258219092,0.0
492,492.0,21.869304577344717,0.0
493,493.0,21.46850393839264,0.0
494,494.0,21.26242691816589,0.0
495,495.0,21.922935652563606,0.0
496,496.0,22.0247246690036,0.0
497,497.0,21.70424557159834,0.0
498,498.0,21.956231888613452,0.0
499,499.0,21.548899649297326,0.0
500,500.0,21.602801722138597,0.0
501,501.0,21.784641144402837,0.0
502,502.0,21.95139481135537,0.0
503,503.0,21.529886095145716,0.0
504,504.0,21.69143785441275,0.0
505,505.0,21.361021043707392,0.0
506,506.0,21.59827806445653,0.0
507,507.0,21.88779438310983,0.0
508,508.0,22.142082688466612,0.0
509,509.0,21.275835199800763,0.0
510,510.0,21.760924421285168,0.0
511,511.0,22.0225740333131,0.0
512,512.0,21.947345946895492,0.0
513,513.0,21.808147448670702,0.0
514,514.0,21.606303172647497,0.0
515,515.0,22.101715841937487,0.0
516,516.0,21.4623718355824,0.0
517,517.0,21.18270834581196,0.0
518,518.0,21.303216887412333,0.0
519,519.0,21.78219100289078,0.0
520,520.0,22.041519910814632,0.0
521,521.0,21.598651734188085,0.0
522,522.0,21.833120585949164,0.0
523,523.0,21.16358524787412,0.0
524,524.0,21.214287400436426,0.0
525,525.0,21.782751224439405,0.0
526,526.0,21.810024613770203,0.0
527,527.0,21.78471668397986,0.0
528,528.0,21.365215026103016,0.0
529,529.0,22.014638079435947,0.0
530,530.0,21.908924615836092,0.0
531,531.0,21.511864107000886,0.0
532,532.0,21.281735751094953,0.0
533,533.0,21.820062582766642,0.0
534,534.0,21.191272111888345,0.0
535,535.0,21.301380813372425,0.0
536,536.0,21.50607316999986,0.0
537,537.0,21.655269752332607,0.0
538,538.0,21.666376348349832,0.0
539,539.0,21.231693565239283,0.0
540,540.0,21.301246934759718,0.0
541,541.0,21.71109724336696,0.0
542,542.0,21.98252371228388,0.0
543,543.0,21.6482903335349,0.0
544,544.0,21.263388969357447,0.0
545,545.0,22.08045842522108,0.0
546,546.0,21.553440191112482,0.0
547,547.0,21.426527267097104,0.0
548,548.0,21.80847080541435,0.0
549,549.0,21.108954629578463,0.0
550,550.0,21.416141769643914,0.0
551,551.0,21.098395345213618,0.0
552,552.0,21.779834521643554,0.0
553,553.0,21.990419521625103,0.0
554,554.0,21.66005962793421,0.0
555,555.0,21.999039632528,0.0
556,556.0,21.99067850134531,0.0
557,557.0,21.40738878195251,0.0
558,558.0,21.61987463676057,0.0
559,559.0,21.292793637116656,0.0
560,560.0,21.395432427294722,0.0
561,561.0,21.849398597352675,0.0
562,562.0,21.14434694146503,0.0
563,563.0,21.725235703938854,0.0
564,564.0,21.0996768986998,0.0
565,565.0,21.634728595044198,0.0
566,566.0,21.93226084126469,0.0
567,567.0,21.557926096513906,0.0
568,568.0,21.278425515198776,0.0
569,569.0,21.087384335834845,0.0
570,570.0,21.569085265232818,0.0
571,571.0,21.469961362869466,0.0
572,572.0,21.153899772134515,0.0
573,573.0,21.924405851149668,0.0
574,574.0,21.861114242220225,0.0
575,575.0,21.890217923391383,0.0
576,576.0,21.476345571916223,0.0
577,577.0,21.88890157427626,0.0
578,578.0,21.73003156425977,0.0
579,579.0,21.666551791228965,0.0
580,580.0,21.23006393326871,0.0
581,581.0,21.641705818605427,0.0
582,582.0,21.62357823203866,0.0
583,583.0,21.656059490067022,0.0
584,584.0,21.097814840102988,0.0
585,585.0,21.15853055070226,0.0
586,586.0,21.925930277358074,0.0
587,587.0,22.002148317272127,0.0
588,588.0,21.46579862991616,0.0
589,589.0,21.876153957382687,0.0
590,590.0,21.972285222702023,0.0
591,591.0,21.810944301850228,0.0
592,592.0,21.140325973057557,0.0
593,593.0,21.904737203662002,0.0
594,594.0,21.029268568012988,0.0
595,595.0,21.324023637709175,0.0
596,596.0,21.38512331904598,0.0
597,597.0,21.660618154931477,0.0
598,598.0,21.718472304076187,0.0
599,599.0,21.466769219597705,0.0
600,600.0,21.40975257281198,0.0
601,601.0,21.18719283914461,0.0
602,602.0,21.876409145879876,0.0
603,603.0,21.449216436628575,0.0
604,604.0,21.00710417184959,0.0
605,605.0,21.631968184401757,0.0
606,606.0,21.26532571080374,0.0
607,607.0,21.5239997625194,0.0
608,608.0,21.249884065089383,0.0
609,609.0,21.60366219278282,0.0
610,610.0,21.556852622309997,0.0
611,611.0,21.83918685200596,0.0
612,612.0,21.459230671436682,0.0
613,613.0,21.78454830741261,0.0
614,614.0,21.171151147660456,0.0
615,615.0,21.01253475732096,0.0
616,616.0,21.375309043883092,0.0
617,617.0,21.630178657450042,0.0
618,618.0,21.425978776251373,0.0
619,619.0,21.591152088035006,0.0
