,Th1,Ts1,u1,R
410,20.465825035145837,20.465825035145837,0.0,1.6486143565216445
411,20.302584471297816,20.302584471297816,0.0,1.6141397262364272
412,20.140238790701297,20.140238790701297,0.0,1.5825344096368106
413,19.9818694899345,19.9818694899345,0.0,1.712161594288503
414,19.82723143130022,19.82723143130022,0.0,1.5519234389370489
415,19.672980488369085,19.672980488369085,0.0,1.6524086790586665
416,19.520422583686127,19.520422583686127,0.0,1.7863011551947068
417,19.369246164942545,19.369246164942545,0.0,1.6636087086188098
418,19.21918520778201,19.21918520778201,0.0,1.7352085893237472
419,19.070517496965884,19.070517496965884,0.0,1.7432475920813744
420,18.923297501750596,18.923297501750596,0.0,1.6875727991908036
421,18.77751031842488,18.77751031842488,0.0,1.825166356161784
422,18.631703661637076,18.631703661637076,0.0,1.7063868636319448
423,18.48874818178313,18.48874818178313,0.0,1.7804531594890491
424,18.34717593132771,18.34717593132771,0.0,1.9187152070579927
425,18.208364242909962,18.208364242909962,0.0,1.765757637557936
426,18.069490176480727,18.069490176480727,0.0,1.8713157711848076
427,17.93194306754407,17.93194306754407,0.0,1.945969514552953
428,17.795702535012264,17.795702535012264,0.0,1.8266791421125497
429,17.660747415315242,17.660747415315242,0.0,1.9334018038767091
430,17.527055762400586,17.527055762400586,0.0,1.7820915254214533
431,17.394604847733522,17.394604847733522,0.0,1.920699207885729
432,17.132035939180312,17.132035939180312,0.0,1.8768381232877935
433,16.876726613963562,16.876726613963562,0.0,1.6352182144194352
434,16.75011107563068,16.75011107563068,0.0,1.9655698632678913
435,16.624583472207433,16.624583472207433,0.0,2.006479266690942
436,16.500115597782603,16.500115597782603,0.0,1.9168754547679825
437,16.376678463962623,16.376678463962623,0.0,2.0526843331413467
438,16.25424229987158,16.25424229987158,0.0,1.8658286830162858
439,16.13277655215121,16.13277655215121,0.0,2.000228161160962
440,16.012249884960895,16.012249884960895,0.0,2.036799299906466
441,15.892630179977672,15.892630179977672,0.0,1.9444555071468166
442,15.773908688816013,15.773908688816013,0.0,2.0761961814065515
443,15.656118470724968,15.656118470724968,0.0,2.1101744376409997
444,15.539257110282387,15.539257110282387,0.0,2.01441203489658
445,15.42332045159051,15.42332045159051,0.0,2.1439241135166256
